block,level_A,value
1,1,20.039562159274343
1,2,20.390482552133975
1,3,19.407281687723312
1,4,19.693548642442607
2,1,20.092551017920897
2,2,18.10468205461448
2,3,22.43452136777582
2,4,20.690043034281658
3,1,24.591108984841924
3,2,25.402658315827367
3,3,23.97647293866602
3,4,24.389393949379997
4,1,23.79002863836464
4,2,27.20288989411438
4,3,23.37387141999272
4,4,25.25742210286342
5,1,26.487098786015327
5,2,28.037866278811602
5,3,27.81773971797803
5,4,25.679690227119977
6,1,29.089584039690532
6,2,27.909280991466073
6,3,29.05845675815782
6,4,30.498948231533973
7,1,29.68794973723013
7,2,34.505449730557395
7,3,31.250681202033025
7,4,33.00969344684909
8,1,37.372134359772815
8,2,31.518605873426136
8,3,33.28840447574009
8,4,33.54712713864902
