block,level_A,value
1,1,21.66155961063442
1,2,20.65611275109594
1,3,27.007903505658252
1,4,28.50932926701864
2,1,21.504369638374566
2,2,25.369765590191104
2,3,27.641774708926558
2,4,30.698926858129347
3,1,24.03000534456782
3,2,139.08928220638248
3,3,33.80845736440672
3,4,32.86386879796167
4,1,25.765550843583693
4,2,26.775312310140382
4,3,30.75413443197631
4,4,38.69667055992526
5,1,31.26659324168199
5,2,33.16365315833277
5,3,34.51970745873276
5,4,35.725823419647135
6,1,30.479613898981857
6,2,31.081376181174285
6,3,35.87069576506344
6,4,41.065861422700905
7,1,31.010143005029395
7,2,35.60004977159008
7,3,39.93837932634421
7,4,39.18247696422734
8,1,34.2018405964909
8,2,35.282908193949446
8,3,38.40711392614202
8,4,40.64500533265504
